playlist_url,playlist_name,category
https://www.youtube.com/playlist?list=PLFgquLnL59akA2PflFpeQG9L01VFg90wS,Latest Videos - Music,pop
https://www.youtube.com/playlist?list=PLFgquLnL59alCl_2TQvOiD5Vgm1hCaGSI,Popular Music Videos,pop
https://www.youtube.com/playlist?list=PLDcnymzs18LU4Kexrs91TVdfnplU3I5zs,Top Tracks - Pop Music,pop
https://www.youtube.com/playlist?list=PLTDluH66q5mpm-Bsq3GlwjMOHITt2bwXE,Top Tracks - K-Pop,k-pop
https://www.youtube.com/playlist?list=PLqCG5fyPRR1V7yiJezK4oSUOmwZJFb0KU,2020 OFFICIAL KPOP MV & AUDIO NEW RELEASE,k-pop
https://www.youtube.com/playlist?list=PLw-VjHDlEOgvT-sOErqlUvlTVldqB1jpF,Best Spanish Songs 2020 to 2021 ♫ Today's Top Spanish Music 2020 to 2021,latin
https://www.youtube.com/playlist?list=PLgFPSBWI2ATthyKGjK9ktakXSc_KUhnis,Spanish Songs 2020 to 2021 ♫ Top Latino Songs 2020 to 2021 (Latin Playlist,latin
https://www.youtube.com/playlist?list=PLy_wKxVmWb4buFEKHnrtydL-pn3Ae9Rye,Best Spanish Songs 2020 Playlist - Spain Top 40 Music 2020 to 202,latin
https://www.youtube.com/playlist?list=PLw-VjHDlEOgvh3fIZ8VSWWE09eYGO8uFI,New Hindi Songs 2020 Hits - Bollywood Songs 2020 Playlist,bollywood
https://www.youtube.com/playlist?list=PL3oW2tjiIxvTSdJ4zqjL9dijeZ0LjcuGS,Latest Hindi Songs 2020 to 2021 & Bollywood Songs 2020 to 2021 (New Hindi & Bollywood Hits),bollywood
https://www.youtube.com/playlist?list=PL4uUU2x5ZgR1JOlcY9SZB94MW6fBE8ovU,New Bollywood Songs 2020 March - Top Hindi Songs 2020 to 2021 (Trending Indian Music Videos),bollywood
https://www.youtube.com/playlist?list=PLrEnWoR732-CvU2EIng1mKhlXJHvaiAVM,Hot New Trailers,film
https://www.youtube.com/playlist?list=PLrEnWoR732-BHrPp_Pm8_VleD68f9s14-,Popular Right Now,most popular
